remoteId,published,modified,Nome,"Abstract (descrizione in breve)",Descrizione,Competenze,"Scheda della struttura","Orario per il pubblico",Immagine,"Tipologia della Struttura","Servizio di appartenenza","Incarico di appartenenza","Ufficio di appartenenza","Struttura di appartenenza","Area di appartenenza",Circoscrizione,"Telefono segreteria",Fax,"Indirizzo e-mail","Indirizzo e-mail secondario","Indirizzo e-mail certificata",Sede,Indirizzo,CAP,"Identificativo DB AS400 struttura (univoco)","Codice identificativo della struttura AS400","Codice del servizio (primo livello) AS400","Codice dell'incarico (secondo livello) AS400","Codice dell'ufficio (terzo livello) AS400","Codice della struttura (quarto livello) AS400","Codice altra struttura (quinto livello) AS400","Data inizio validità","Data fine validità",lat,lon,address
struttura457,2019-04-01T00:00:00+02:00,2019-04-06T20:05:02+02:00,Centralino,,,,,,,"Altra struttura","SEGRETERIA GENERALE",,,,,"Circoscrizione n. 12 - Centro storico - Piedicastello",0461-884111,,,,,"EDIFICIO ""CASA DEL CAPITOLO"" VIA BELENZANI 18","VIA R. BELENZANI, 18  ",38122,457,0,1,,,2,,2019-04-01T00:00:00+02:00,2200-12-31T00:00:00+01:00,46.069314,11.12109,"VIA R. BELENZANI, 18   "
struttura601,2021-01-01T00:00:00+01:00,2021-04-01T20:05:14+02:00,"Il Piccolo Principe - Cristo Re",,"Per maggiori informazioni vedi la 						
					                scheda della scuola
    
",,,,/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/il-piccolo-principe-cristo-re/12605853-2-ita-IT/Il-Piccolo-Principe-Cristo-Re.jpg,"Scuola d'infanzia","SERVIZI ALL'INFANZIA E ISTRUZIONE",,"Servizi per l'infanzia e istruzione",,,"Circoscrizione n. 12 - Centro storico - Piedicastello",0461-824334,0461-824334,circolo.coordinamento03@provincia.tn.it,,,"SCUOLA MATERNA E ASILO NIDO CRISTO RE","VIA L. SENESI, 3  ",38121,601,0,18,,1,44,,2021-01-01T00:00:00+01:00,2200-12-31T00:00:00+01:00,46.081516,11.118067,"VIA L. SENESI, 3   "
struttura596,2021-01-01T00:00:00+01:00,2021-04-01T20:05:13+02:00,Martignano,,"Per maggiori informazioni vedi la 						
					                scheda del nido
    
",,,,/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/martignano2/12605693-2-ita-IT/Martignano.jpg,"Nido d'infanzia","SERVIZI ALL'INFANZIA E ISTRUZIONE",,"Servizi per l'infanzia e istruzione",,,,0461-262733,0461-262733,nido.martignano@lacoccinella.coop,,,"ASILO NIDO DI MARTIGNANO","VIA DI MADERNO, 2  ",38121,596,0,18,,1,27,,2021-01-01T00:00:00+01:00,2200-12-31T00:00:00+01:00,46.088457,11.134438,"VIA DI MADERNO, 2   "
struttura605,2021-01-01T00:00:00+01:00,2021-04-01T20:05:16+02:00,"Il Castello - Mattarello",,"Per maggiori informazioni vedi la 						
					                scheda della scuola
    
",,,,/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/il-castello-mattarello/12605981-2-ita-IT/Il-Castello-Mattarello.jpg,"Scuola d'infanzia","SERVIZI ALL'INFANZIA E ISTRUZIONE",,"Servizi per l'infanzia e istruzione",,,"Circoscrizione n. 08 - Mattarello",0461-945095,0461-945095,circolo.coordinamento04@provincia.tn.it,,,"SCUOLA MATERNA ""IL CASTELLO"" DI MATTARELLO","VIA DEL CASTEL, 1  A",38123,605,0,18,,1,48,,2021-01-01T00:00:00+01:00,2200-12-31T00:00:00+01:00,46.005814,11.129542,"VIA DEL CASTEL, 1  A "
struttura613,2021-01-01T00:00:00+01:00,2021-04-01T20:05:18+02:00,"Maso Ginocchio - S.Giuseppe",,"Per maggiori informazioni vedi la 						
					                scheda della scuola
    
",,,,/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/maso-ginocchio-s.giuseppe/12606237-2-ita-IT/Maso-Ginocchio-S.Giuseppe.jpg,"Scuola d'infanzia","SERVIZI ALL'INFANZIA E ISTRUZIONE",,"Servizi per l'infanzia e istruzione",,,"Circoscrizione n. 11 - S. Giuseppe S. Chiara",0461-930042,0461-930042,circolo.coordinamento04@provincia.tn.it,,,"SCUOLA MATERNA ""MASO GINOCCHIO""","VIA G. GIUSTI, 56  ",38122,613,0,18,,1,57,,2021-01-01T00:00:00+01:00,2200-12-31T00:00:00+01:00,46.058848,11.117713,"VIA G. GIUSTI, 56   "
struttura586,2021-01-01T00:00:00+01:00,2021-04-01T20:05:10+02:00,"La Mongolfiera - Mattarello",,"Per maggiori informazioni vedi la 						
					                scheda del nido
    
",,,,/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/la-mongolfiera-mattarello/12605373-2-ita-IT/La-Mongolfiera-Mattarello.jpg,"Nido d'infanzia","SERVIZI ALL'INFANZIA E ISTRUZIONE",,"Servizi per l'infanzia e istruzione",,,"Circoscrizione n. 08 - Mattarello",0461-944428,0461-942500,nido.lamongolfiera@lacoccinella.coop,,,"ASILO NIDO ""LA MONGOLFIERA"" DI MATTARELLO","VIA DELLA ROZOLA, 36  ",38123,586,0,18,,1,16,,2021-01-01T00:00:00+01:00,2200-12-31T00:00:00+01:00,46.011508,11.132994,"VIA DELLA ROZOLA, 36   "
struttura580,2021-01-01T00:00:00+01:00,2021-04-01T20:05:08+02:00,"Villazzano 3",,"Per maggiori informazioni vedi la 						
					                scheda del nido
    
",,,,/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/villazzano-3/12605181-2-ita-IT/Villazzano-3.jpg,"Nido d'infanzia","SERVIZI ALL'INFANZIA E ISTRUZIONE",,"Servizi per l'infanzia e istruzione",,,"Circoscrizione n. 10 - Oltrefersina",0461-932440,0461-932440,nido.villazzano3@progestrento.it,,,"SCUOLA MATERNA E ASILO NIDO VILLAZZANO TRE","VIA CONCI, 12  ",38123,580,0,18,,1,9,,2021-01-01T00:00:00+01:00,2200-12-31T00:00:00+01:00,46.040966,11.139549,"VIA CONCI, 12   "
struttura598,2021-01-01T00:00:00+01:00,2021-04-01T20:05:14+02:00,"Gianni Rodari",,"Per maggiori informazioni vedi la 						
					                scheda della scuola
    
",,,,/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/gianni-rodari2/12605757-2-ita-IT/Gianni-Rodari.jpg,"Scuola d'infanzia","SERVIZI ALL'INFANZIA E ISTRUZIONE",,"Servizi per l'infanzia e istruzione",,,"Circoscrizione n. 11 - S. Giuseppe S. Chiara",0461-986198,0461-986198,circolo.coordinamento03@provincia.tn.it,,,"SCUOLA MATERNA E ASILO NIDO ""GIANNI RODARI""","VIA B. GIOVANELLI, 6  ",38122,598,0,18,,1,41,,2021-01-01T00:00:00+01:00,2200-12-31T00:00:00+01:00,46.064574,11.131186,"VIA B. GIOVANELLI, 6   "
struttura582,2021-01-01T00:00:00+01:00,2021-04-01T20:05:09+02:00,Europa,,"Per maggiori informazioni vedi la 						
					                scheda del nido
    
",,,,/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/europa/12605245-2-ita-IT/Europa.jpg,"Nido d'infanzia","SERVIZI ALL'INFANZIA E ISTRUZIONE",,"Servizi per l'infanzia e istruzione",,,"Circoscrizione n. 10 - Oltrefersina",0461-924622,0461-924622,europa@citta-futura.it,,,"EDIFICIO PLURIUSO-NIDO ""EUROPA"" (ITEA)","VIA E. FERMI, 23  ",38123,582,0,18,,1,12,,2021-01-01T00:00:00+01:00,2200-12-31T00:00:00+01:00,46.048596,11.12777,"VIA E. FERMI, 23   "
struttura612,2021-01-01T00:00:00+01:00,2021-04-01T20:05:18+02:00,"Margit Levinson - Roncafort",,"Per maggiori informazioni vedi la 						
					                scheda della scuola
    
",,,,/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/margit-levinson-roncafort/12606205-2-ita-IT/Margit-Levinson-Roncafort.jpg,"Scuola d'infanzia","SERVIZI ALL'INFANZIA E ISTRUZIONE",,"Servizi per l'infanzia e istruzione",,,"Circoscrizione n. 01 - Gardolo",0461-960422,0461-960422,circolo.coordinamento05@provincia.tn.it,,,"SCUOLA MATERNA RONCAFORT ""MARGIT LEVINSON""","VIA DELL'ASILO, 8  ",38121,612,0,18,,1,56,,2021-01-01T00:00:00+01:00,2200-12-31T00:00:00+01:00,46.100771,11.10263,"VIA DELL'ASILO, 8   "
