Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2024-01-18,1,26,µg/mc
"Parco S. Chiara",PM10,2024-01-18,2,27,µg/mc
"Parco S. Chiara",PM10,2024-01-18,3,26,µg/mc
"Parco S. Chiara",PM10,2024-01-18,4,26,µg/mc
"Parco S. Chiara",PM10,2024-01-18,5,25,µg/mc
"Parco S. Chiara",PM10,2024-01-18,6,26,µg/mc
"Parco S. Chiara",PM10,2024-01-18,7,26,µg/mc
"Parco S. Chiara",PM10,2024-01-18,8,27,µg/mc
"Parco S. Chiara",PM10,2024-01-18,9,29,µg/mc
"Parco S. Chiara",PM10,2024-01-18,10,31,µg/mc
"Parco S. Chiara",PM10,2024-01-18,11,31,µg/mc
"Parco S. Chiara",PM10,2024-01-18,12,31,µg/mc
"Parco S. Chiara",PM10,2024-01-18,13,28,µg/mc
"Parco S. Chiara",PM10,2024-01-18,14,29,µg/mc
"Parco S. Chiara",PM10,2024-01-18,15,30,µg/mc
"Parco S. Chiara",PM10,2024-01-18,16,29,µg/mc
"Parco S. Chiara",PM10,2024-01-18,17,33,µg/mc
"Parco S. Chiara",PM10,2024-01-18,18,36,µg/mc
"Parco S. Chiara",PM10,2024-01-18,19,44,µg/mc
"Parco S. Chiara",PM10,2024-01-18,20,47,µg/mc
"Parco S. Chiara",PM10,2024-01-18,21,44,µg/mc
"Parco S. Chiara",PM10,2024-01-18,22,46,µg/mc
"Parco S. Chiara",PM10,2024-01-18,23,44,µg/mc
"Parco S. Chiara",PM10,2024-01-18,24,42,µg/mc
"Parco S. Chiara",PM2.5,2024-01-18,1,20,µg/mc
"Parco S. Chiara",PM2.5,2024-01-18,2,20,µg/mc
"Parco S. Chiara",PM2.5,2024-01-18,3,20,µg/mc
"Parco S. Chiara",PM2.5,2024-01-18,4,20,µg/mc
"Parco S. Chiara",PM2.5,2024-01-18,5,20,µg/mc
"Parco S. Chiara",PM2.5,2024-01-18,6,20,µg/mc
"Parco S. Chiara",PM2.5,2024-01-18,7,21,µg/mc
"Parco S. Chiara",PM2.5,2024-01-18,8,22,µg/mc
"Parco S. Chiara",PM2.5,2024-01-18,9,23,µg/mc
"Parco S. Chiara",PM2.5,2024-01-18,10,24,µg/mc
"Parco S. Chiara",PM2.5,2024-01-18,11,24,µg/mc
"Parco S. Chiara",PM2.5,2024-01-18,12,24,µg/mc
"Parco S. Chiara",PM2.5,2024-01-18,13,22,µg/mc
"Parco S. Chiara",PM2.5,2024-01-18,14,24,µg/mc
"Parco S. Chiara",PM2.5,2024-01-18,15,25,µg/mc
"Parco S. Chiara",PM2.5,2024-01-18,16,24,µg/mc
"Parco S. Chiara",PM2.5,2024-01-18,17,28,µg/mc
"Parco S. Chiara",PM2.5,2024-01-18,18,31,µg/mc
"Parco S. Chiara",PM2.5,2024-01-18,19,37,µg/mc
"Parco S. Chiara",PM2.5,2024-01-18,20,39,µg/mc
"Parco S. Chiara",PM2.5,2024-01-18,21,38,µg/mc
"Parco S. Chiara",PM2.5,2024-01-18,22,40,µg/mc
"Parco S. Chiara",PM2.5,2024-01-18,23,39,µg/mc
"Parco S. Chiara",PM2.5,2024-01-18,24,36,µg/mc
