Nome;Tipologia;Destinazione d'uso;Luogo;Numero civico;Link ad Open Sreet Map;Link a Wikipedia;Latitudine;Longitudine
Casa Cava;Cava;Auditorium;Via San Pietro Barisano;47;"<a href=""http://www.openstreetmap.org/way/244636560"" target=""_blank"">Link OSM</a>";;40.668481;16.609262
Casino Dragone;Palazzo storico;Nessuna;Via Enrico Fermi;;"<a href=""http://www.openstreetmap.org/way/243503388"" target=""_blank"">Link OSM</a>";;40.67577;16.5826
Casino Padula;Palazzo storico;Nessuna;Via dell'Ariete;;"<a href=""http://www.openstreetmap.org/way/243601830"" target=""_blank"">Link OSM</a>";;40.64235;16.62502
Castello Tramontano;Monumento;Nessuna;Via Castello;;"<a href=""http://www.openstreetmap.org/way/216895891"" target=""_blank"">Link OSM</a>";;40.664014;16.605962
Chiesa Santa Maria De'Armeniis;Chiesa;Sito Turistico;Via San Francesco da Paola Vecchio;;"<a href=""http://www.openstreetmap.org/node/2506015717"" target=""_blank"">Link OSM</a>";;40.66251;16.61114
Complesso del Casale;Palazzo storico;Residenziale;Via del Casale;;"<a href=""http://www.openstreetmap.org/way/244728779"" target=""_blank"">Link OSM</a>";;40.66884;16.61066
Convento di Santa Lucia ed Agata alla Civita;Palazzo storico;Nessuna;Via Madonna delle Virt�;;"<a href=""http://www.openstreetmap.org/way/244637714"" target=""_blank"">Link OSM</a>";;40.666907;16.613479
Convento di Santa Lucia ed Agata al Piano;Palazzo storico;Sito Turistico;Via Luigi La Vista;;"<a href=""http://www.openstreetmap.org/way/243609992"" target=""_blank"">Link OSM</a>";;40.665767;16.606102
Fontana Ferdinandea;Monumento;Sito Turistico;Piazza Vittorio Veneto;;"<a href=""http://www.openstreetmap.org/node/2505211612"" target=""_blank"">Link OSM</a>";;40.666223;16.606354
Palazzetto di Recinto Fiorentini (Palazzo Acito);Palazzo storico;Attività Produttiva;Recinto I Fiorentini;;"<a href=""http://www.openstreetmap.org/way/244644608"" target=""_blank"">Link OSM</a>";;40.66661;16.608412
Palazzo Bronzini;Palazzo storico;Conservatorio di musica;Via Duomo;2;"<a href=""http://www.openstreetmap.org/way/244741881"" target=""_blank"">Link OSM</a>";;40.665841;16.609938
Palazzo della Prefettura;Palazzo storico;Istituzione;Piazza Vittorio Veneto;1;"<a href=""http://www.openstreetmap.org/way/243615695"" target=""_blank"">Link OSM</a>";;40.667411;16.606535
Palazzo del Sedile;Palazzo storico;Scuola;Piazza del Sedile;2;"<a href=""http://www.openstreetmap.org/way/244741890"" target=""_blank"">Link OSM</a>";;40.665316;16.609764
Palazzo Lanfranchi;Palazzo storico;Museo;Piazza Pascoli;1;"<a href=""https://www.openstreetmap.org/way/242358949"" target=""_blank"">Link OSM</a>";"<a href=""http://it.wikipedia.org/wiki/Palazzo_Lanfranchi_%28Matera%29"" target=""_blank"">Link Wikipedia</a>";40.66288;16.61049
Palazzo Ridola;Palazzo storico;Conservatorio di musica;Via Duomo;7;"<a href=""http://www.openstreetmap.org/way/244644613"" target=""_blank"">Link OSM</a>";;40.666073;16.610013
