service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0000000012023091120240611,1,1,1,1,1,1,1,20230911,20240611
0000000022023091120240611,1,1,1,1,1,1,0,20230911,20240611
0000000022023092520240611,1,1,1,1,1,1,0,20230925,20240611
0000000022023100120240611,1,1,1,1,1,1,0,20231001,20240611
0000000022023100220240611,1,1,1,1,1,1,0,20231002,20240611
0000000022023110620240611,1,1,1,1,1,1,0,20231106,20240611
0000000022023111020240611,1,1,1,1,1,1,0,20231110,20240611
0000000022023111020250611,1,1,1,1,1,1,0,20231110,20250611
0000000032023091120240611,1,1,1,1,1,1,0,20230911,20240611
0000000032023100220240611,1,1,1,1,1,1,0,20231002,20240611
0000000052023091120240611,0,0,0,0,0,0,1,20230911,20240611
0000000052023110620240611,0,0,0,0,0,0,1,20231106,20240611
0000000092023091120240611,1,1,1,1,1,0,0,20230911,20240611
0000000092023110620240611,1,1,1,1,1,0,0,20231106,20240611
0000000092023111020240611,1,1,1,1,1,0,0,20231110,20240611
0000000092023122720240611,1,1,1,1,1,0,0,20231227,20240611
0000000102023091120240114,1,1,1,1,1,0,0,20230911,20240114
0000000102023091120240611,1,1,1,1,1,0,0,20230911,20240611
0000000102023092520240611,1,1,1,1,1,0,0,20230925,20240611
0000000102023100420240611,1,1,1,1,1,0,0,20231004,20240611
0000000102023122720240611,1,1,1,1,1,0,0,20231227,20240611
0000000102024011520240611,1,1,1,1,1,0,0,20240115,20240611
0000000112023091120240611,1,1,1,1,0,0,0,20230911,20240611
0000000252023091120240611,0,0,0,0,0,1,0,20230911,20240611
0000000532023091120240611,1,1,1,1,1,0,0,20230911,20240611
0000000532023122720240611,1,1,1,1,1,0,0,20231227,20240611
0000000592023091120240611,1,1,1,1,1,1,0,20230911,20240611
0000000592023091820240611,1,1,1,1,1,1,0,20230918,20240611
0000000592023112720240611,1,1,1,1,1,1,0,20231127,20240611
0000000602023091120240611,1,1,1,1,1,1,0,20230911,20240611
0000000602023112720240611,1,1,1,1,1,1,0,20231127,20240611
0000000622023091120240611,0,0,0,0,0,0,1,20230911,20240611
0000000622023112720240611,0,0,0,0,0,0,1,20231127,20240611
0000000662023091120240611,1,1,1,1,1,0,0,20230911,20240611
0000000662023101420240611,1,1,1,1,1,0,0,20231014,20240611
0000000662023112720240114,1,1,1,1,1,0,0,20231127,20240114
0000000662023112720240611,1,1,1,1,1,0,0,20231127,20240611
0000000662024011520240611,1,1,1,1,1,0,0,20240115,20240611
0000000672023091120240114,1,1,1,1,1,0,0,20230911,20240114
0000000672023091120240611,1,1,1,1,1,0,0,20230911,20240611
0000000672023112720240611,1,1,1,1,1,0,0,20231127,20240611
0000000672024011520240611,1,1,1,1,1,0,0,20240115,20240611
0000000682023091120240611,1,1,1,1,0,0,0,20230911,20240611
0000000692023091120240611,0,0,0,0,1,0,0,20230911,20240611
0000000772023091120240611,0,0,0,0,0,1,0,20230911,20240611
0000000822023091120240611,0,0,0,0,0,1,0,20230911,20240611
0000000822023112720240611,0,0,0,0,0,1,0,20231127,20240611
0000001092023091120240611,1,1,1,1,1,1,0,20230911,20240611
0000001402023091120240611,1,1,1,1,1,1,1,20230911,20240611
0000001432023091120240611,1,1,1,1,1,0,0,20230911,20240611
0000001442023091120240611,1,1,1,1,1,1,0,20230911,20240611
0000001452023091120240611,0,0,0,0,0,1,0,20230911,20240611
0000001462023091120240611,1,1,1,1,1,0,0,20230911,20240611
0000001472023091120240611,1,1,1,1,1,1,0,20230911,20240611
0000001482023091120240611,1,1,1,1,1,0,0,20230911,20240611
0000001562023091120240611,1,0,1,1,0,0,0,20230911,20240611
0000001572023091120240611,0,1,0,0,1,0,0,20230911,20240611
0000001642023091120240611,0,0,0,0,0,1,0,20230911,20240611
