year,mouth,day,hour,Temp-C°,location,lat,lon,asl
2017,11,1,0,0.8002454,Basilea,47.75000,7.50000,363653
2017,11,1,100,0.41024542,Basilea,47.75001,7.50001,363654
2017,11,1,200,0.2602454,Basilea,47.75002,7.50002,363655
2017,11,1,300,0.4602454,Basilea,47.75003,7.50003,363656
2017,11,1,400,0.3802454,Basilea,47.75004,7.50004,363657
2017,11,1,500,0.1502454,Basilea,47.75005,7.50005,363658
2017,11,1,600,0.3302454,Basilea,47.75006,7.50006,363659
2017,11,1,700,1.4802454,Basilea,47.75007,7.50007,363660
2017,11,1,800,3.8102455,Basilea,47.75008,7.50008,363661
2017,11,1,900,6.3202453,Basilea,47.75009,7.50009,363662
2017,11,1,1000,9.570246,Basilea,47.75010,7.50010,363663
2017,11,1,1100,11.650246,Basilea,47.75011,7.50011,363664
2017,11,1,1200,13.290245,Basilea,47.75012,7.50012,363665
2017,11,1,1300,14.340245,Basilea,47.75013,7.50013,363666
2017,11,1,1400,14.900246,Basilea,47.75014,7.50014,363667
2017,11,1,1500,14.530245,Basilea,47.75015,7.50015,363668
2017,11,1,1600,12.590245,Basilea,47.75016,7.50016,363669
2017,11,1,1700,8.680245,Basilea,47.75017,7.50017,363670
2017,11,1,1800,7.5102453,Basilea,47.75018,7.50018,363671
2017,11,1,1900,6.5602455,Basilea,47.75019,7.50019,363672
2017,11,1,2000,6.3002453,Basilea,47.75020,7.50020,363673
2017,11,1,2100,6.0902452,Basilea,47.75021,7.50021,363674
2017,11,1,2200,5.540245,Basilea,47.75022,7.50022,363675
2017,11,1,2300,4.9102454,Basilea,47.75023,7.50023,363676
2017,11,2,0,5.0302453,Basilea,47.75024,7.50024,363677
2017,11,2,100,5.040245,Basilea,47.75025,7.50025,363678
2017,11,2,200,4.9302454,Basilea,47.75026,7.50026,363679
2017,11,2,300,5.2402453,Basilea,47.75027,7.50027,363680
2017,11,2,400,5.8202453,Basilea,47.75028,7.50028,363681
2017,11,2,500,6.3202453,Basilea,47.75029,7.50029,363682
2017,11,2,600,6.5102453,Basilea,47.75030,7.50030,363683
2017,11,2,700,7.3202453,Basilea,47.75031,7.50031,363684
2017,11,2,800,8.670245,Basilea,47.75032,7.50032,363685
2017,11,2,900,10.790245,Basilea,47.75033,7.50033,363686
2017,11,2,1000,12.740245,Basilea,47.75034,7.50034,363687
2017,11,2,1100,14.640245,Basilea,47.75035,7.50035,363688
2017,11,2,1200,15.740245,Basilea,47.75036,7.50036,363689
2017,11,2,1300,16.160246,Basilea,47.75037,7.50037,363690
2017,11,2,1400,15.8102455,Basilea,47.75038,7.50038,363691
2017,11,2,1500,15.570246,Basilea,47.75039,7.50039,363692
2017,11,2,1600,14.890245,Basilea,47.75040,7.50040,363693
2017,11,2,1700,13.730246,Basilea,47.75041,7.50041,363694
2017,11,2,1800,13.170245,Basilea,47.75042,7.50042,363695
2017,11,2,1900,12.700245,Basilea,47.75043,7.50043,363696
2017,11,2,2000,12.230246,Basilea,47.75044,7.50044,363697
2017,11,2,2100,12.020246,Basilea,47.75045,7.50045,363698
2017,11,2,2200,11.760245,Basilea,47.75046,7.50046,363699
2017,11,2,2300,11.710245,Basilea,47.75047,7.50047,363700
2017,11,3,0,11.500245,Basilea,47.75048,7.50048,363701
2017,11,3,100,10.970245,Basilea,47.75049,7.50049,363702
